Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Gen0;Allocated
cocktailSort1k;Job-KMYNLB;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;100;Default;Default;Default;Default;Default;Default;Default;Default;16;3;468.3 μs;9.06 μs;25.86 μs;467.4 μs;0.4883;3.93 KB
cocktailSort10k;Job-KMYNLB;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;100;Default;Default;Default;Default;Default;Default;Default;Default;16;3;"43,542.8 μs";156.67 μs;407.21 μs;"43,541.3 μs";0.0000;39.13 KB
cocktailSort100k;Job-KMYNLB;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;100;Default;Default;Default;Default;Default;Default;Default;Default;16;3;"8,393,485.2 μs";"144,112.70 μs";"424,919.54 μs";"8,681,928.5 μs";0.0000;391.04 KB
cocktailSort500k;Job-KMYNLB;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;100;Default;Default;Default;Default;Default;Default;Default;Default;16;3;"219,662,701.2 μs";"4,752,453.39 μs";"13,169,025.96 μs";"223,329,091.3 μs";0.0000;1953.54 KB
