Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Gen0;Gen1;Gen2;Allocated
BucketSort1k;Job-TJQWES;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;100;Default;Default;Default;Default;Default;Default;Default;Default;16;3;17.52 μs;0.361 μs;1.024 μs;10.9253;2.1667;0.0000;66.99 KB
BucketSort10k;Job-TJQWES;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;100;Default;Default;Default;Default;Default;Default;Default;Default;16;3;416.17 μs;10.695 μs;29.814 μs;110.3516;92.2852;0.0000;678.91 KB
BucketSort100k;Job-TJQWES;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;100;Default;Default;Default;Default;Default;Default;Default;Default;16;3;"19,089.70 μs";287.307 μs;805.640 μs;1187.5000;781.2500;281.2500;6789.83 KB
BucketSort500k;Job-TJQWES;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;100;Default;Default;Default;Default;Default;Default;Default;Default;16;3;"95,738.30 μs";"1,031.374 μs";"2,942.567 μs";4500.0000;2666.6667;833.3333;29010.42 KB
